January,32,34,38,45,51,41,39,38,36,33,45,54,56,49,36,35,42,40,47,54,59,36,42,40,36,29,28,33,50,51,34
February,36,42,59,49,37,24,8,9,14,15,15,7,9,4,0,11,22,25,33,42,42,60,69,46,46,52,63,53
March,55,62,71,72,57,66,69,71,77,75,60,50,51,50,52,49,61,49,57,63,68,66,59,53,46,62,59,60,76,63,53
April,52,69,75,81,80,77,71,52,72,59,75,61,61,58,60,52,58,61,53,45,49,58,57,67,76,84,79,80,78,80
May,81,77,68,65,69,65,72,72,54,64,62,64,69,75,69,67,69,79,76,74,77,73,81,82,81,87,77,61,67,67,64
June,75,77,83,87,86,84,87,88,90,92,92,87,90,94,92,93,97,97,93,94,79,87,88,88,87,83,80,79,81,78
July,85,88,88,88,89,87,85,84,93,85,74,81,87,90,80,86,86,83,85,88,88,87,91,94,90,90,94,96,98,95,82
August,83,84,82,84,82,92,97,88,97,91,97,96,82,86,85,86,90,90,88,89,83,88,95,94,93,95,92,91,89,92,81
September,82,82,84,76,80,85,88,82,82,85,85,85,86,81,81,87,88,87,87,84,74,71,76,76,75,91,90,89,79,82
October,77,76,78,81,77,76,76,85,85,81,65,76,74,70,64,65,72,73,75,68,59,65,59,75,50,60,59,52,55,64,56
November,44,48,50,52,57,65,72,70,66,68,55,43,46,53,65,71,65,48,50,55,58,48,66,60,37,54,67,51,65,55
December,64,71,65,51,64,36,41,51,63,66,47,56,56,65,73,46,43,32,37,46,45,52,59,72,56,65,62,56,33,43,54